Fecha,y1,y2
20-07-06,525.13,389.23
21-07-06,525.23,388.86
22-07-06,525.43,387.6
23-07-06,525.72,387.61
24-07-06,525.94,387.92
25-07-06,526.01,388.13
26-07-06,526.05,388.66
27-07-06,526.12,389
28-07-06,526.16,387.9
29-07-06,526.15,388.08
30-07-06,526.22,387.97
31-07-06,526.31,388.46
01-08-06,526.36,388.21
02-08-06,526.4,387.56
03-08-06,526.39,388.35
04-08-06,526.43,389.25
05-08-06,526.48,388.98
06-08-06,526.62,387.97
07-08-06,526.7,387.79
08-08-06,526.7,387.74
09-08-06,526.7,388.68
10-08-06,526.69,387.78
11-08-06,526.67,387.94
12-08-06,526.62,388.5
13-08-06,526.63,388.35
14-08-06,526.66,388.64
15-08-06,526.68,387.75
16-08-06,526.67,387.9
17-08-06,526.62,387.34
18-08-06,526.55,387.68
19-08-06,526.48,388.58
20-08-06,526.47,388.46
21-08-06,526.49,388.24
22-08-06,526.52,388.01
23-08-06,526.54,388.72
24-08-06,526.59,388.08
25-08-06,526.6,388.06
26-08-06,526.6,387.4
27-08-06,526.56,388.39
28-08-06,526.53,388.95
29-08-06,526.53,387.98
30-08-06,526.5,388.44
31-08-06,526.5,388.36
01-09-06,526.48,388.74
02-09-06,526.46,389.18
03-09-06,526.57,387.66
04-09-06,526.64,388.8
05-09-06,526.77,389.04
06-09-06,526.8,387.9
07-09-06,526.81,388.32
08-09-06,526.85,387.92
09-09-06,526.87,388.4
10-09-06,526.88,388.38
11-09-06,526.94,388.15
12-09-06,527.03,388.8
13-09-06,527.1,389.25
14-09-06,527.22,389.28
15-09-06,527.26,387.92
16-09-06,527.3,388.78
17-09-06,527.4,388.98
18-09-06,527.48,388.17
19-09-06,527.48,387.68
20-09-06,527.49,388.92
21-09-06,527.54,388.66
22-09-06,527.55,388.25
23-09-06,527.56,388.17
24-09-06,527.59,388.61
25-09-06,527.66,389.33
26-09-06,527.71,388.2
27-09-06,527.71,388.94
28-09-06,527.71,388.24
29-09-06,527.71,388.39
30-09-06,527.69,388.71
01-10-06,527.7,388.31
02-10-06,527.73,388
03-10-06,527.71,388.71
04-10-06,527.7,387.87
05-10-06,527.68,388.32
06-10-06,527.67,388.36
07-10-06,527.7,388.6
08-10-06,527.79,388.47
09-10-06,527.92,388.3
10-10-06,528.04,388.06
11-10-06,528.16,388.16
12-10-06,528.28,388.46
13-10-06,528.32,388.73
14-10-06,528.46,389.08
15-10-06,528.58,388.85
16-10-06,528.68,388.26
17-10-06,528.7,388.2
18-10-06,528.73,388.61
19-10-06,528.78,388.06
20-10-06,528.81,388.46
21-10-06,528.84,388.73
22-10-06,528.91,388.25
23-10-06,529,388.6
24-10-06,529.15,388.23
25-10-06,529.13,388.42
26-10-06,529.19,388.47
27-10-06,529.2,388.48
28-10-06,529.21,388.67
29-10-06,529.32,389.28
30-10-06,529.41,388.9
31-10-06,529.44,388.7
01-11-06,529.45,389
02-11-06,529.43,389.3
03-11-06,529.44,390.25
04-11-06,529.45,389.47
05-11-06,529.45,389.77
