nombre,Fecha,data
x1,2006-07-17,24.81
x1,2006-07-18,19.21
x1,2006-07-19,72.17
x1,2006-07-20,92.22
x1,2006-07-21,137.44
x1,2006-07-22,178.55
x1,2006-07-23,136.19
x1,2006-07-24,79.23
x1,2006-07-25,73.3
x1,2006-07-26,64.9
x1,2006-07-27,50.36
x1,2006-07-28,33.06
x1,2006-07-29,58.06
x1,2006-07-30,54.47
x1,2006-07-31,62.79
x1,2006-08-01,61.87
x1,2006-08-02,56.18
x1,2006-08-03,62.42
x1,2006-08-04,51.32
x1,2006-08-05,79.29
x1,2006-08-06,50.5
x1,2006-08-07,46.35
x1,2006-08-08,39.51
x1,2006-08-09,30.21
x1,2006-08-10,42.95
x1,2006-08-11,27.06
x1,2006-08-12,19.5
x1,2006-08-13,22.71
x1,2006-08-14,45.09
x1,2006-08-15,37.39
x1,2006-08-16,23.88
x1,2006-08-17,20.89
x1,2006-08-18,21.06
x1,2006-08-19,11.01
x1,2006-08-20,17.18
x1,2006-08-21,54.36
x1,2006-08-22,60.15
x1,2006-08-23,54.79
x1,2006-08-24,51.02
x1,2006-08-25,44.12
x1,2006-08-26,34.71
x1,2006-08-27,23.99
x1,2006-08-28,44.1
x1,2006-08-29,39.75
x1,2006-08-30,50.19
x1,2006-08-31,43.14
x1,2006-09-01,37.26
x1,2006-09-02,66.93
x1,2006-09-03,86.25
x1,2006-09-04,114.11
x1,2006-09-05,61.27
x1,2006-09-06,63.76
x1,2006-09-07,70.97
x1,2006-09-08,67.76
x1,2006-09-09,55.2
x1,2006-09-10,62.98
x1,2006-09-11,117.79
x1,2006-09-12,92.35
x1,2006-09-13,96.52
x1,2006-09-14,54.06
x1,2006-09-15,66.52
x1,2006-09-16,58.78
x1,2006-09-17,55.98
x1,2006-09-18,53.98
x1,2006-09-19,67.85
x1,2006-09-20,71.34
x1,2006-09-21,61.42
x1,2006-09-22,66.22
x1,2006-09-23,62.31
x1,2006-09-24,59.96
x1,2006-09-25,58.7
x1,2006-09-26,49.33
x1,2006-09-27,39.8
x1,2006-09-28,51.99
x1,2006-09-29,41.43
x1,2006-09-30,20.76
x1,2006-10-01,35.62
x1,2006-10-02,44.59
x1,2006-10-03,27.6
x1,2006-10-04,46
x1,2006-10-05,40.7
x1,2006-10-06,63.02
x1,2006-10-07,62.07
x1,2006-10-08,74.96
x1,2006-10-09,94.93
x1,2006-10-10,110.42
x1,2006-10-11,100.86
x1,2006-10-12,78.16
x1,2006-10-13,112.09
x1,2006-10-14,83.94
x1,2006-10-15,69.45
x1,2006-10-16,53.74
x1,2006-10-17,36.82
x1,2006-10-18,48.31
x1,2006-10-19,47.45
x1,2006-10-20,36.11
x1,2006-10-21,55.4
x1,2006-10-22,62.27
x1,2006-10-23,105.24
x1,2006-10-24,14.88
x1,2006-10-25,64.22
x1,2006-10-26,43.17
x1,2006-10-27,37.55
x1,2006-10-28,66.65
x1,2006-10-29,51.69
x1,2006-10-30,50.72
x1,2006-10-31,54.87
x1,2006-11-01,37.31
x1,2006-11-02,11.54
x1,2006-11-03,38.18
x1,2006-11-04,43.51
x1,2006-11-05,13.07
x1,2006-11-06,40.85
x1,2006-11-07,33.63
x1,2006-11-08,30.82
x1,2006-11-09,20.88
x1,2006-11-10,30.06
x1,2006-11-11,32.97
x1,2006-11-12,15.49
x1,2006-11-13,40.04
x1,2006-11-14,28.91
x1,2006-11-15,31.04
